price,rank,weeks_on_list,title,rank_last_week,description,author,list_name,list_name_encoded,bestsellers_date,published_date,publisher
0.00,1,8,THE WHISTLER,2,A whistleblower alerts a Florida investigator to judicial corruption involving the Mob and Indian casinos.,John Grisham,Combined Print and E-Book Fiction,combined-print-and-e-book-fiction,2016-12-17,2017-01-01,Doubleday
0.00,2,4,CROSS THE LINE,4,"Detective Alex Cross and his wife, Bree, team up to catch a killer causing chaos in Washington, D.C.",James Patterson,Combined Print and E-Book Fiction,combined-print-and-e-book-fiction,2016-12-17,2017-01-01,"Little, Brown"
0.00,3,30,A MAN CALLED OVE,5,A curmudgeon's gruff exterior masks a generosity of spirit. Originally published in Sweden in 2014.,Fredrik Backman,Combined Print and E-Book Fiction,combined-print-and-e-book-fiction,2016-12-17,2017-01-01,Washington Square
0.00,4,2,A DOG'S PURPOSE,15,A canine narrator undergoes a series of reincarnations.,W Bruce Cameron,Combined Print and E-Book Fiction,combined-print-and-e-book-fiction,2016-12-17,2017-01-01,Forge Books
0.00,5,1,THE SEVENTH PLAGUE,0,The 12th Sigma Force thriller follows a deadly pathogen in Egypt and a Russian assassin in the Arctic.,James Rollins,Combined Print and E-Book Fiction,combined-print-and-e-book-fiction,2016-12-17,2017-01-01,Morrow/HarperCollins
0.00,6,2,TOM CLANCY TRUE FAITH AND ALLEGIANCE,3,"Jack Ryan Sr. is still president, while Jack Jr., working for a secret organization, works to prevent complicated terrorist strikes set in motion by a hacker. Clancy died in 2013.",Mark Greaney,Combined Print and E-Book Fiction,combined-print-and-e-book-fiction,2016-12-17,2017-01-01,Putnam
0.00,7,95,THE GIRL ON THE TRAIN,6,A psychological thriller set in the environs of London is full of complications and betrayals.,Paula Hawkins,Combined Print and E-Book Fiction,combined-print-and-e-book-fiction,2016-12-17,2017-01-01,Riverhead
0.00,8,10,THE UNDERGROUND RAILROAD,12,"A teenage girl heads north on the network that helped slaves escape to freedom, envisioned in this novel as a secret system of actual tracks and tunnels.",Colson Whitehead,Combined Print and E-Book Fiction,combined-print-and-e-book-fiction,2016-12-17,2017-01-01,Doubleday
0.00,9,11,TWO BY TWO,9,A man who became a single father when his marriage and business collapsed learns to take a chance on a new love.,Nicholas Sparks,Combined Print and E-Book Fiction,combined-print-and-e-book-fiction,2016-12-17,2017-01-01,Grand Central
0.00,10,5,NO MAN'S LAND,7,"John Puller, a special agent with the Army, searches for the truth about his mother, who disappeared 30  years ago.",David Baldacci,Combined Print and E-Book Fiction,combined-print-and-e-book-fiction,2016-12-17,2017-01-01,Grand Central
0.00,11,2,ISLAND OF GLASS,1,A trilogy concludes with the guardians heading to Ireland in search of the Star of Ice.,Nora Roberts,Combined Print and E-Book Fiction,combined-print-and-e-book-fiction,2016-12-17,2017-01-01,Berkley
0.00,12,6,NIGHT SCHOOL,10,"Jack Reacher, still in the Army, becomes involved in an investigation with elite agents from the F.B.I. and C.I.A.",Lee Child,Combined Print and E-Book Fiction,combined-print-and-e-book-fiction,2016-12-17,2017-01-01,Delacorte
0.00,13,10,SMALL GREAT THINGS,13,"A medical crisis entangles a black nurse, a white supremacist father and a white lawyer.",Jodi Picoult,Combined Print and E-Book Fiction,combined-print-and-e-book-fiction,2016-12-17,2017-01-01,Ballantine
0.00,14,1,MILK AND HONEY,0,Poetic approaches to surviving adversity and loss.,Rupi Kaur,Combined Print and E-Book Fiction,combined-print-and-e-book-fiction,2016-12-17,2017-01-01,Andrews McMeel
0.00,15,5,TURBO TWENTY-THREE,11,The bounty hunter Stephanie Plum juggles the investigation of a crime in an ice cream factory and the two men in her life.,Janet Evanovich,Combined Print and E-Book Fiction,combined-print-and-e-book-fiction,2016-12-17,2017-01-01,Bantam
0.00,16,0,THE WRONG SIDE OF GOODBYE,0,The detective Harry Bosch aids a billionaire in search of a possible heir.,Michael Connelly,Combined Print and E-Book Fiction,combined-print-and-e-book-fiction,2016-12-17,2017-01-01,"Little, Brown"
0.00,17,0,THE CHEMIST,0,"A specialist in chemically controlled torture, on the run from her former employers, takes on one last job.",Stephenie Meyer,Combined Print and E-Book Fiction,combined-print-and-e-book-fiction,2016-12-17,2017-01-01,"Little, Brown"
0.00,18,0,LIGHT AFTER DARK,0,"In the latest Gansett Island novel, Mallory returns to the family fold, drawn by a new job and a new love.",Marie Force,Combined Print and E-Book Fiction,combined-print-and-e-book-fiction,2016-12-17,2017-01-01,HTJB
0.00,19,0,ALL THE LIGHT WE CANNOT SEE,0,The lives of a blind French girl and a gadget-obsessed German boy before and during World War II.,Anthony Doerr,Combined Print and E-Book Fiction,combined-print-and-e-book-fiction,2016-12-17,2017-01-01,Scribner
0.00,20,0,MOONGLOW,0,"A novel that presents itself as a memoir of an elderly World War II veteran and his wife, a Holocaust survivor, who resemble Chabon’s maternal grandparents.",Michael Chabon,Combined Print and E-Book Fiction,combined-print-and-e-book-fiction,2016-12-17,2017-01-01,Harper/HarperCollins
0.00,1,14,KILLING THE RISING SUN,1,The host of “The O’Reilly Factor” recounts the final years of World War II.,Bill O'Reilly and Martin Dugard,Combined Print and E-Book Nonfiction,combined-print-and-e-book-nonfiction,2016-12-17,2017-01-01,Holt
0.00,2,2,THE UNDOING PROJECT,2,How the psychologists Daniel Kahneman and Amos Tversky upended assumptions about the decision-making process and invented the field of behavioral economics.,Michael Lewis,Combined Print and E-Book Nonfiction,combined-print-and-e-book-nonfiction,2016-12-17,2017-01-01,Norton
0.00,3,9,THE MAGNOLIA STORY,3,The couple who star in the HGTV show “Fixer Upper.”,Chip Gaines and Joanna Gaines with Mark Dagostino,Combined Print and E-Book Nonfiction,combined-print-and-e-book-nonfiction,2016-12-17,2017-01-01,W Publishing/Thomas Nelson
0.00,4,21,HILLBILLY ELEGY,4,A Yale Law School graduate looks at the struggles of the white working class through the story of his own childhood in the Rust Belt.,J.D. Vance,Combined Print and E-Book Nonfiction,combined-print-and-e-book-nonfiction,2016-12-17,2017-01-01,HarperCollins
0.00,5,5,SETTLE FOR MORE,6,The anchor of Fox News’s “The Kelly File” discusses the personal and professional challenges she has faced.,Megyn Kelly,Combined Print and E-Book Nonfiction,combined-print-and-e-book-nonfiction,2016-12-17,2017-01-01,Harper/HarperCollins
0.00,6,12,BORN TO RUN,5,The singer-songwriter's autobiography.,Bruce Springsteen,Combined Print and E-Book Nonfiction,combined-print-and-e-book-nonfiction,2016-12-17,2017-01-01,Simon & Schuster
